"Team","Year","Playoff_Status","Wins","Total.Payroll","Active.Payroll","Injured","Retained","Buried","Suspended","Average.Age","Payroll.Percent.Change","Diff_From_League_Avg_Payroll","Payroll.Ranking","Top1_Percent","Top3_Percent","Top5_Percent","Median_Exp","Mean_Exp","Position_Payroll_1B","Position_Payroll_2B","Position_Payroll_3B","Position_Payroll_C","Position_Payroll_CF","Position_Payroll_DH","Position_Payroll_LF","Position_Payroll_OF","Position_Payroll_P","Position_Payroll_RF","Position_Payroll_RP","Position_Payroll_SP","Position_Payroll_SS","Position_Percent_Payroll_1B","Position_Percent_Payroll_2B","Position_Percent_Payroll_3B","Position_Percent_Payroll_C","Position_Percent_Payroll_CF","Position_Percent_Payroll_DH","Position_Percent_Payroll_LF","Position_Percent_Payroll_OF","Position_Percent_Payroll_P","Position_Percent_Payroll_RF","Position_Percent_Payroll_RP","Position_Percent_Payroll_SP","Position_Percent_Payroll_SS","Player_Group_Payroll_Designated_Hitter","Player_Group_Payroll_Infield","Player_Group_Payroll_OutField","Player_Group_Payroll_Pitcher","Player_Group_Percent_Payroll_Designated_Hitter","Player_Group_Percent_Payroll_Infield","Player_Group_Percent_Payroll_OutField","Player_Group_Percent_Payroll_Pitcher"
"new-york-yankees",2018,2,100,180098151,148010829,22568376,9249414,269532,0,27.5,-13.85,41512716.7,5,13.8813196366464,37.8365111588514,55.5768376544854,2.0975,3.57613043478261,1361234,5183908,1078030,7765400,24590157,39750000,11500000,720350,0,0,55270387,67392575,14951300,0.755828970170827,2.87837935659873,0.598579160315755,4.31175998025654,13.6537531692927,22.0712982222677,6.38540703285732,0.399976344010328,0,0,30.6890363355257,37.4199149884665,8.30175097133563,39750000,30339872,36810507,122662962,22.0712982222677,16.8462984386775,20.4391365461603,68.1089513239922
"washington-nationals",2018,0,82,159139752,107955122,8999485,41161720,1023425,0,27.4,-0.54,20554317.7,10,13.6515230965045,33.9690946608991,50.2707877790334,3.061,4.11876666666667,52985769,3545000,13300000,12135000,3070000,0,0,583090,0,6887462,35411895,37921233,1135100,33.2951184943407,2.22760181252513,8.35743416264718,7.62537320027997,1.92912202100202,0,0,0.366401224503605,0,4.32793309870183,22.2520737621861,23.8288878318725,0.713272444963971,0,83100869,10540552,73333128,0,52.218800114757,6.62345634420745,46.0809615940585
"toronto-blue-jays",2020,0,86,130750471,33467052,5114444,14667030,1538164,0,27.6,17.4,-7042881.09999999,17,15.2963120109908,35.9463332258283,52.4663501976983,1.061,2.36007692307692,5316900,3994600,0,1144400,569000,28899,3618495,22372,3175000,13579600,25176335,50854870,22770000,4.06644806656184,3.05513239795519,0,0.875254973268892,0.435180076712687,0.0221024060402811,2.7674814265105,0.0171104546154943,2.42828953174478,10.3858899292225,19.2552537726614,38.8945979399187,17.414851224513,28899,33225900,17789467,79206205,0.0221024060402811,25.4116866622989,13.6056618870612,60.5781412443248
"los-angeles-dodgers",2012,0,86,117202717,112952717,0,4250000,0,0,29,1.76,10004831.866667,9,12.7983381136122,32.0953873449879,48.9465325279106,5.573,5.70228260869565,21375000,3785000,9730000,1820000,10950000,0,18310000,0,0,13694285,16537500,34842166,961500,18.2376318118973,3.2294473173348,8.30185532302976,1.55286502445161,9.34278682293688,0,15.6225047240159,0,0,11.6842726436112,14.1101677702574,29.7281214052401,0.82037347308254,0,37671500,42954285,51379666,0,32.142172949796,36.6495641905639,43.8382891754975
"los-angeles-dodgers",2013,3,92,236694375,207849759,0,22547116,6297500,0,29.1,101.95,125996594.4,1,9.23433098061583,26.6015126045982,41.810999522063,7.019,6.2022,37357142,5751000,23505000,6541000,13500000,0,48987142,0,0,3714285,29133950,89805499,1500000,15.7828600700798,2.429715535065,9.93052749986137,2.76347927575381,5.70355759404929,0,20.6963693159164,0,0,1.56923247542321,12.3086786494187,37.9415433932471,0.633728621561032,0,74654142,66201427,118939449,0,31.540311002321,27.9691593853889,50.2502220426658
"los-angeles-dodgers",2014,2,94,242257818,235557818,0,3e+06,3700000,0,28.9,2.35,122501311.066667,1,10.7323677785292,28.5675577248037,44.2975524529821,6.102,6.10594871794872,37957142,1515000,7500000,4250000,15500000,1600000,49864642,0,1e+05,3714285,37494100,77404761,3300000,15.6680772217638,0.625366814787377,3.09587532072959,1.75432934841343,6.39814232950781,0.660453401755645,20.5832952726421,0,0.0412783376097278,1.53319510208748,15.476941181729,31.9513985715829,1.36218514112102,1600000,54522142,69078927,114998861,0.660453401755645,22.5058338468152,28.5146327042374,47.4696180909216
"los-angeles-dodgers",2015,2,92,301735080,199977688,20914084,70324195,10519113,0,28.3,24.55,173114252.233333,1,10.7947103797145,26.3239428441665,39.3675511644188,4.1485,5.5051875,21857142,14987500,4994535,5450500,18507500,3010000,52821568,0,0,8719285,43114290,108334433,14762746,7.24381865045324,4.96710558149221,1.65527157134,1.80638591972799,6.13369184650323,0.997563823205442,17.5059419673708,0,0,2.88971537548766,14.2887893578698,35.9038243083966,4.89261838563816,3010000,62052423,80048353,151448723,0.997563823205442,20.5652001086516,26.5293491893617,50.1926136662665
"los-angeles-dodgers",2016,3,91,266745494,193881011,13288890,52652847,6922746,0,28.5,-11.6,132851203.366667,1,12.9604543572908,29.2547442244704,41.9259985700077,3.133,4.50401923076923,21857142,1.7e+07,1522500,15328894,19020000,5620000,41512673,0,0,14296785,37624088,107878619,1030000,8.19400608131735,6.37311609095072,0.570768779321911,5.74663652987518,7.1303922382284,2.10687720183195,15.5626520161574,0,0,5.35971003131547,14.1048635670674,40.4425272128496,0.38613585727525,5620000,56738536,74829458,145502707,2.10687720183195,21.2706633387404,28.0527542857013,54.547390779917
"philadelphia-phillies",2016,0,71,103898809,53797706,22025303,21909132,6166668,0,26.8,-26.69,-29995481.633333,19,24.0618735100226,48.7974794783259,63.2346035843395,2.0625,3.1652619047619,26034500,2525000,1967500,12167580,1035500,0,530000,0,0,3667785,20804267,35757000,2925000,25.0575538358674,2.43024922451228,1.89366944523878,11.7109908353232,0.996642800785137,0,0.51011171841248,0,0,3.53015114927833,20.0235856409095,34.4152164439152,2.81523920067265,0,45619580,5233285,56561267,0,43.9077025416143,5.03690566847595,54.4388020848247
"miami-marlins",2017,0,77,110765599,72360311,21441206,13782819,3181263,0,28.9,42.53,-29273383.6,20,13.9935143581899,37.4665061848309,52.6336701343528,3.018,3.75138461538462,2087500,9500000,12570000,3062500,0,1.8e+07,5500000,0,0,0,41471279,16052100,3090540,1.88461040146589,8.57667009050346,11.348288740803,2.76484759496493,0,16.2505328030592,4.96544057871253,0,0,0,37.4405766541289,14.4919543115548,2.79016231384259,1.8e+07,30310540,5500000,57523379,16.2505328030592,27.3645791415799,4.96544057871253,51.9325309656837
